書名,著者名,出版社,請求記号,ISBN,紀伊國屋
HIROSHIMA TATEMONOGATARI ー 物語る広島の建築物を訪ねて,,ザメディアジョン,521-ﾋ ,9784862504487,https://www.kinokuniya.co.jp/f/dsg-01-9784862504487
写真な建築,増田彰久∥著,白揚社,521-ﾏ ,4826901151,https://www.kinokuniya.co.jp/f/dsg-01-4826901151
トトロの住む家,宮崎駿著,朝日新聞社,521-ﾐ ,4022563850,https://www.kinokuniya.co.jp/f/dsg-01-4022563850
時代の地図で巡る東京建築マップ,米山勇∥著、伊藤隆之∥写真著,エクスナレッジ,521-ﾖ ,9784767816234,https://www.kinokuniya.co.jp/f/dsg-01-9784767816234
大図解九竜城,九竜城探検隊∥写真・文,岩波書店,522-ｷ ,4000080709,https://www.kinokuniya.co.jp/f/dsg-01-4000080709
アメリカの家 ー 伝統の住まいとその風土,八木幸二∥監修、和田久士∥写真,講談社,523-ｱ 1,4062710617,https://www.kinokuniya.co.jp/f/dsg-01-4062710617
ヨーロッパの家 ー 伝統の町並み・住まいを訪ねて,樺山紘一∥監修、和田久士∥写真,講談社,523-ｱ 1,406271051X,https://www.kinokuniya.co.jp/f/dsg-01-406271051X
アメリカの家 ー 伝統の住まいとその風土,八木幸二∥監修、和田久士∥写真,講談社,523-ｱ 2,4062710625,https://www.kinokuniya.co.jp/f/dsg-01-4062710625
ヨーロッパの家 ー 伝統の町並み・住まいを訪ねて,樺山紘一∥監修、和田久士∥写真,講談社,523-ｱ 3,4062710544,https://www.kinokuniya.co.jp/f/dsg-01-4062710544
図説北欧の建築遺産 ー 都市と自然に育まれた文化,伊藤大介∥著,河出書房新社,523-ｲ ,9784309761541,https://www.kinokuniya.co.jp/f/dsg-01-9784309761541
世界がうらやむニッポンのモダニズム建築,伊藤隆之∥写真・著、米山勇∥監修,地球丸,523-ｲ ,9784860676377,https://www.kinokuniya.co.jp/f/dsg-01-9784860676377
東京建築遺産さんぽ,大内田史郎∥著、傍島利浩∥写真,エクスナレッジ,523-ｵ ,9784767826646,https://www.kinokuniya.co.jp/f/dsg-01-9784767826646
歩いて、食べる東京のおいしい名建築さんぽ ー 東京名建築ガイド,甲斐みのり∥著,エクスナレッジ,523-ｶ ,9784767824789,https://www.kinokuniya.co.jp/f/dsg-01-9784767824789
東京建築 みる・あるく・かたる,倉方俊輔∥著甲斐みのり∥著,京阪神エルマガジン社,523-ｸ ,9784874354001,https://www.kinokuniya.co.jp/f/dsg-01-9784874354001
東京モダン建築さんぽ,倉方俊輔∥著、下村しのぶ∥写真,エクスナレッジ,523-ｸ ,9784767823836,https://www.kinokuniya.co.jp/f/dsg-01-9784767823836
幸せな名建築たち ー 住む人・支える人に学ぶ42のつきあい方,日本建築学会∥編,丸善出版,523-ｼ ,9784621303061,https://www.kinokuniya.co.jp/f/dsg-01-9784621303061
絵本のようにめくる城と宮殿の物語,石井美樹子∥監修,昭文社,523-ｼ ,9784398145970,https://www.kinokuniya.co.jp/f/dsg-01-9784398145970
明治の洋館100選 今見ておきたい、全国に残る名建築 講談社カルチャーブックス 55,鈴木博之文半村隆嗣写真,講談社,523-ｽ ,4061980653,https://www.kinokuniya.co.jp/f/dsg-01-4061980653
イスラムの建築文化,アンリ・スチールラン著神谷武夫訳,原書房,523-ｽ ,4562018968,https://www.kinokuniya.co.jp/f/dsg-01-4562018968
図説年表西洋建築の様式,鈴木博之∥編,彰国社,523-ｽﾞ ,4395005020,https://www.kinokuniya.co.jp/f/dsg-01-4395005020
世界でいちばん素敵な建築の教室,田所辰之助∥監修、川嶋勝∥監修,三才ブックス,523-ｾ ,9784866731346,https://www.kinokuniya.co.jp/f/dsg-01-9784866731346
長崎 旧浦上天主堂 1945‐58―失われた被爆遺産,高原至写真横手一彦文,岩波書店,523-ﾀ ,9784000241656,https://www.kinokuniya.co.jp/f/dsg-01-9784000241656
リノベーション名建築の旅 ー 古いのに新しい！,常松祐介∥著,講談社,523-ﾂ ,9784065149904,https://www.kinokuniya.co.jp/f/dsg-01-9784065149904
